show_id,show_name,content_role,query,max_results,include_shorts,include_livestreams,run_status
ATSH,"Anh Trai ""Say Hi""",CLIP,"""Anh Trai ""Say Hi"""" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",HIGHLIGHT,"""Anh Trai ""Say Hi"""" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",TEASER_PREVIEW,"""Anh Trai ""Say Hi"""" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",RECAP_COMMENTARY,"""Anh Trai ""Say Hi"""" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",PRODUCTION_ACCESS,"""Anh Trai ""Say Hi"""" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",INTERVIEW_PRESS,"""Anh Trai ""Say Hi"""" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",MUSIC_PERFORMANCE,"""Anh Trai ""Say Hi"""" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",EXTENDED_DELETED,"""Anh Trai ""Say Hi"""" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",CAST_CHALLENGE,"""Anh Trai ""Say Hi"""" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",SHORT_FORM,"""Anh Trai ""Say Hi"""" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",LIVESTREAM,"""Anh Trai ""Say Hi"""" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",COMPILATION,"""Anh Trai ""Say Hi"""" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
ATSH,"Anh Trai ""Say Hi""",COMMUNITY_TRANSFORMATIVE,"""Anh Trai ""Say Hi"""" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
EXSH,"Em Xinh ""Say Hi""",CLIP,"""Em Xinh ""Say Hi"""" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
EXSH,"Em Xinh ""Say Hi""",HIGHLIGHT,"""Em Xinh ""Say Hi"""" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
EXSH,"Em Xinh ""Say Hi""",TEASER_PREVIEW,"""Em Xinh ""Say Hi"""" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
EXSH,"Em Xinh ""Say Hi""",RECAP_COMMENTARY,"""Em Xinh ""Say Hi"""" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
EXSH,"Em Xinh ""Say Hi""",PRODUCTION_ACCESS,"""Em Xinh ""Say Hi"""" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
