show,season,episode_candidate,video_id,title,channel,duration,reason_for_review,possible_decision
"Anh Trai ""Say Hi""",ATSH_2025,,vBXDH2nltYY,Anh Trai Say Hi: Tuyển tập khoảnh khắc vui nhất #3 - Chuyến Tàu Định Mệnh của các Anh Trai,VieShows,10511,show_alias;plausible_duration,REVIEW
"Anh Trai ""Say Hi""",ATSH_2025,,GeCKwuK5W4s,Anh Trai Say Hi: Tuyển tập khoảnh khắc vui nhất #4 - Đại chiến bể bơi của 30 Anh Trai,VieShows,7367,show_alias;plausible_duration,REVIEW
"Anh Trai ""Say Hi""",ATSH_2025,,nU9pgOM-_7s,"Anh Trai Say Hi: Tuyển tập khoảnh khắc vui nhất #14 - Ngô Kiến Huy vào vai boy phố, Karik bị tố cáo",VieShows,3843,show_alias;plausible_duration,REVIEW
"Anh Trai ""Say Hi""",ATSH_2025,,hoXkEDe4Rew,Playlist FULL 10 Tiết Mục Livstage 4 Anh Trai Say Hi - 25 Anh Trai tỏa sáng như thể đêm chung kết,VieShows,2686,show_alias;plausible_duration,REVIEW
"Anh Trai ""Say Hi""",ATSH_2025,10,H0M2a_ZngVA,Tổng hợp quảng cáo Anh Trai Say Hi 2025 tập 10 trên HTV2 Vie Channel và ON Vie Giải Trí (16/11/2025),Thập cẩm quảng cáo,2593,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,6,BP236Tcs5mk,"Toàn cảnh tập nhảy SECRET: CONGB Cody Nam Võ đưa idea khiến biên đạo ""bó tay"" | Tinh Hà Say Hi Tập 6",VieSTARS,1274,show_alias;numbered_episode;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,3,OdqLJ_DHw6M,Tinh Hà Say Hi - Tập 3: Lộ diện 6 Đội Trưởng & Full Demo bài hát Live Stage 2,VieSTARS,863,show_alias;numbered_episode;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,,4fk_IdZArYs,"Trấn Thành được phen cười ná thở với ""trọng tài"" Dương Lâm, CONGB và vũ điệu ăn mừng |Tinh Hà Say Hi",VieTalents,2099,show_alias;plausible_duration,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,1,_TY8jqZHuE8,"Sảnh chờ TẬP 1 TINH HÀ ""SAY HI"" - hóng màn ra mắt của 24 Anh Trai cùng playlist nhà ""Say Hi""",VieTalents,12824,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,,xETexMuAMFw,"Chill cùng TOP 15 HIT mới nhất từ Tinh Hà ""Say Hi"": Thế Giới Của Anh, 50 Cuộc Gọi Nhỡ, Mất La Bàn...",VieTalents,4410,show_alias;plausible_duration,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,,IO1vbkRBM20,"RUN TO YOU - Ali Hoàng Dương, IVAN, KIMLONG, Song Luân từ EP - TRẠM ĐẾN EM | TINH HÀ SAY HI",VieTalents,1973,show_alias;plausible_duration,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,,Dd78O2L9ZIA,"HURRYKNG soán ngôi ""CHƠI DƠ NHẤT"", Pháp Kiều truyền gen ""XÌ-LAY"" cho Ca Siêu | Tinh Hà ""Say Hi""",VieTalents,2074,show_alias;plausible_duration,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,6,pfZ_y-qC9rU,Tinh Hà Say Hi Tập 6: Hành trình 14 ngày chạy nước rút hoàn thiện EP Trạm Đến Em của Liên Quân 2,VieSTARS,1742,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,1,zoaPaVFD7TY,"Tinh Hà Say Hi - Tập 1: CoolKid ""đuổi thẳng"" JSOL, HURRYKNG hứa 1 nụ hôn, ""cái đuôi nhỏ"" VƯƠNG BÌNH",VieSTARS,981,show_alias;numbered_episode;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,3,sWY60CTYH2Y,"Game Lăn Bóng Tinh Hà: Dàn Anh Trai diện outfit kỳ lạ, quyết chiến giành bóng | Tinh Hà Say Hi Tập 3",VieSTARS,4262,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,3,r22u8-lUuQ8,"Game Siêu Tốc Độ: 24 Anh Trai ""vắt chân lên cổ"" chạy tiếp sức cùng Mascot | Tinh Hà Say Hi Tập 3",VieSTARS,2050,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,6,00vqufE21Xw,"Sảnh chờ TẬP 6 TINH HÀ ""SAY HI"" - chờ đón RUN TO YOU, MRT, SECRET cùng Liên Quân 2 tại LIVESTAGE 3",VieTalents,9292,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,5,kr4xj89HwiI,"GAME VÀO PHÒNG: Song Luân WEAN căng sức, Wren Evans bất bình dùm Pháp Kiều | Tinh Hà Say Hi Tập 5",VieSTARS,3458,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,5,v7Wv1olzyNA,"CỰC SỐC ""THÂN PHẬN THẬT"" của các Anh Trai được tiết lộ trong tập 5, ai là Trùm Cuối | Tinh Hà Say Hi",VieShows,1807,show_alias;numbered_episode;plausible_duration;source_authority_unverified,REVIEW
"Tinh Hà ""Say Hi""",THSH_2026,,efMuQ678sbM,"Tổng hợp 6 bài hát BÙNG NỔ Livestage 2 TINH HÀ SAY HI: Mộng Duyên, Mưa Vội Phóng, Thế Giới Của Anh..",VieBeauty,1818,show_alias;plausible_duration,REVIEW
