show_id,tier,show_name,show_name_normalized,aliases,producer,broadcaster,primary_youtube_channel_ids,comparison_group,format_type,notes
ATSH,1,"Anh Trai ""Say Hi""",anh trai say hi,"Anh Trai Say Hi|Anh Trai ""Say Hi""|ATSH",DatVietVAC / Vie Channel,HTV2 - Vie Channel / VieON,UCkna2OcuN1E6u5I8GVtdkOw,music_fandom,closed_season,
EXSH,1,"Em Xinh ""Say Hi""",em xinh say hi,"Em Xinh Say Hi|Em Xinh ""Say Hi""|EXSH",DatVietVAC / Vie Channel,HTV2 - Vie Channel / VieON,UCkna2OcuN1E6u5I8GVtdkOw,music_fandom,closed_season,
THSH,1,"Tinh Hà ""Say Hi""",tinh ha say hi,"Tinh Ha Say Hi|Tinh Hà Say Hi|Tinh Hà ""Say Hi""|THSH",DatVietVAC / Vie Channel,HTV2 - Vie Channel / VieON,UCkna2OcuN1E6u5I8GVtdkOw,music_fandom,closed_season,
ATVNCG,1,Anh Trai Vượt Ngàn Chông Gai,anh trai vuot ngan chong gai,Anh Trai Vuot Ngan Chong Gai|Anh Trai Vượt Ngàn Chông Gai|ATVNCG,YeaH1,VTV3 / YEAH1 SHOW,UCh_zF2FsiCflCPgYDudtcqg,music_fandom,closed_season,
CDDG,1,Chị Đẹp Đạp Gió,chi dep dap gio,Chi Dep Dap Gio|Chị Đẹp Đạp Gió|Chị Đẹp Đạp Gió Rẽ Sóng|CDDG,YeaH1,VTV3 / YEAH1 SHOW,UCh_zF2FsiCflCPgYDudtcqg,music_fandom,closed_season,
RAPVIET,2,Rap Việt,rap viet,Rap Việt|Rap Viet,,,,music_talent,closed_season,
TMSVN,2,The Masked Singer Vietnam,the masked singer vietnam,The Masked Singer Vietnam|Ca Sĩ Mặt Nạ|Ca Si Mat Na|TMSVN,,,,music_talent,closed_season,
TBTN,2,Tân Binh Toàn Năng,tan binh toan nang,Tân Binh Toàn Năng|Tan Binh Toan Nang|TBTN,,,,music_fandom,closed_season,
OURSONG,2,Bài Hát Của Chúng Ta,bai hat cua chung ta,Bài Hát Của Chúng Ta|Bai Hat Cua Chung Ta|Our Song Vietnam,,,,music_talent,closed_season,
VNIDOL,2,Vietnam Idol,vietnam idol,Vietnam Idol|Thần Tượng Âm Nhạc Việt Nam|Than Tuong Am Nhac Viet Nam,,,,music_talent,closed_season,
NHVDDP,2,Nữ Hoàng Vũ Đạo Đường Phố,nu hoang vu dao duong pho,Nữ Hoàng Vũ Đạo Đường Phố|Nu Hoang Vu Dao Duong Pho,,,,music_talent,closed_season,
2N1D,3,2 Ngày 1 Đêm,2 ngay 1 dem,2 Ngày 1 Đêm|2 Ngay 1 Dem|2N1D,,,,travel_reality,episodic_reality,
