show_id,season_ids,platform,account_handle,account_url,authority_class,authority_status,evidence_video_count,official_evidence_video_count,evidence_strength,evidence_receipt_count,source_channel_ids,first_observed_at,last_observed_at,evidence_video_urls
2N1D,2N1D_S1|2N1D_S2|2N1D_S3|2N1D_S4,facebook,2ngay1demvietnam.dongtay,https://www.facebook.com/2ngay1demvietnam.dongtay,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,94,94,HIGH,4,UChGncdgzOKmp5XQTnQa2h4w,2026-08-12T14:06:31.995243+07:00,2026-08-12T14:08:19.086034+07:00,https://www.youtube.com/watch?v=-0zOfN0IOzM&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=24|https://www.youtube.com/watch?v=0tYQFSvQacI&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=25|https://www.youtube.com/watch?v=18Om1Z4AkPU&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=23|https://www.youtube.com/watch?v=1F65wS5dAFU&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=17|https://www.youtube.com/watch?v=1Gg0ZGkqXJk&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=19|https://www.youtube.com/watch?v=1hdVrgv64uA&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=7|https://www.youtube.com/watch?v=1ppkFEyF6Nk&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=27|https://www.youtube.com/watch?v=2emxLcSzzWA&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=8|https://www.youtube.com/watch?v=2mOQdcQz-0Q&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=12|https://www.youtube.com/watch?v=3HxRUhJ4djY&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=26
2N1D,2N1D_S4,facebook,dongtaypromotion,https://www.facebook.com/dongtaypromotion,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,1,1,MEDIUM,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T18:25:36.701383+07:00,2026-08-12T18:25:36.701383+07:00,https://www.youtube.com/watch?v=3s8olG0trSQ
2N1D,2N1D_S1|2N1D_S2|2N1D_S3,instagram,2days1nightvietnamofficial,https://www.instagram.com/2days1nightvietnamofficial,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,79,79,HIGH,3,UChGncdgzOKmp5XQTnQa2h4w,2026-08-12T14:06:31.995243+07:00,2026-08-12T14:07:45.529244+07:00,https://www.youtube.com/watch?v=-0zOfN0IOzM&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=24|https://www.youtube.com/watch?v=0tYQFSvQacI&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=25|https://www.youtube.com/watch?v=18Om1Z4AkPU&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=23|https://www.youtube.com/watch?v=1F65wS5dAFU&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=17|https://www.youtube.com/watch?v=1Gg0ZGkqXJk&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=19|https://www.youtube.com/watch?v=1ppkFEyF6Nk&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=27|https://www.youtube.com/watch?v=2emxLcSzzWA&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=8|https://www.youtube.com/watch?v=3HxRUhJ4djY&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=26|https://www.youtube.com/watch?v=4BegI9FrDOg&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=2|https://www.youtube.com/watch?v=5JCphZY9B4E&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=8
2N1D,2N1D_S4,instagram,2ngay1demvietnam,https://www.instagram.com/2ngay1demvietnam,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,15,15,HIGH,1,UChGncdgzOKmp5XQTnQa2h4w,2026-08-12T14:08:19.086034+07:00,2026-08-12T14:08:19.086034+07:00,https://www.youtube.com/watch?v=1hdVrgv64uA&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=7|https://www.youtube.com/watch?v=2mOQdcQz-0Q&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=12|https://www.youtube.com/watch?v=3dsU5PRvjYE&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=16|https://www.youtube.com/watch?v=B3Zc1ykGlBg&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=4|https://www.youtube.com/watch?v=FfHHzzncIg4&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=6|https://www.youtube.com/watch?v=L3bhtY7Yx9g&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=3|https://www.youtube.com/watch?v=XIuDTjlDc58&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=15|https://www.youtube.com/watch?v=XVsu0hC5eBg&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=13|https://www.youtube.com/watch?v=aPiz6yKSXhU&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=8|https://www.youtube.com/watch?v=bVRQYw8hM44&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=11
2N1D,2N1D_S4,instagram,dongtaypromotion.official,https://www.instagram.com/dongtaypromotion.official,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,1,1,MEDIUM,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T18:25:36.701383+07:00,2026-08-12T18:25:36.701383+07:00,https://www.youtube.com/watch?v=3s8olG0trSQ
2N1D,2N1D_S1|2N1D_S2|2N1D_S3|2N1D_S4,tiktok,2ngay1demvietnam,https://www.tiktok.com/@2ngay1demvietnam,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,93,93,HIGH,4,UChGncdgzOKmp5XQTnQa2h4w,2026-08-12T14:06:31.995243+07:00,2026-08-12T14:08:19.086034+07:00,https://www.youtube.com/watch?v=-0zOfN0IOzM&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=24|https://www.youtube.com/watch?v=0tYQFSvQacI&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=25|https://www.youtube.com/watch?v=18Om1Z4AkPU&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=23|https://www.youtube.com/watch?v=1F65wS5dAFU&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=17|https://www.youtube.com/watch?v=1Gg0ZGkqXJk&list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz&index=19|https://www.youtube.com/watch?v=1hdVrgv64uA&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=7|https://www.youtube.com/watch?v=1ppkFEyF6Nk&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=27|https://www.youtube.com/watch?v=2emxLcSzzWA&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=8|https://www.youtube.com/watch?v=2mOQdcQz-0Q&list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14&index=12|https://www.youtube.com/watch?v=3HxRUhJ4djY&list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr&index=26
2N1D,2N1D_S2,tiktok,2ngay1demvietnamh,https://www.tiktok.com/@2ngay1demvietnamh,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,1,1,MEDIUM,1,UChGncdgzOKmp5XQTnQa2h4w,2026-08-12T14:07:02.326255+07:00,2026-08-12T14:07:02.326255+07:00,https://www.youtube.com/watch?v=BS3hs8aS1B0&list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ&index=18
2N1D,2N1D_S4,tiktok,dongtaypromotionofficial,https://www.tiktok.com/@dongtaypromotionofficial,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,1,1,MEDIUM,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T18:25:36.701383+07:00,2026-08-12T18:25:36.701383+07:00,https://www.youtube.com/watch?v=3s8olG0trSQ
ATCDN,ATCDN_2026,facebook,dongtaypromotion,https://www.facebook.com/dongtaypromotion,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,10,10,HIGH,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:47:53.755155+07:00,2026-08-12T14:47:53.755155+07:00,https://www.youtube.com/watch?v=8RTVnRrMV7A&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=11|https://www.youtube.com/watch?v=AuetpmE00eg&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=8|https://www.youtube.com/watch?v=DtfN79Bx1v4&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=9|https://www.youtube.com/watch?v=Duh6X7WJ4rw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=2|https://www.youtube.com/watch?v=FuAYbk9j0h0&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=1|https://www.youtube.com/watch?v=KRef2BML-wc&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=12|https://www.youtube.com/watch?v=Nnjh_-6xpx4&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=10|https://www.youtube.com/watch?v=WoMdyX5ikFw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=7|https://www.youtube.com/watch?v=_K-rzxLEdRQ&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=6|https://www.youtube.com/watch?v=au82t9S7-qw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=4
ATCDN,ATCDN_2026,instagram,dongtaypromotion.official,https://www.instagram.com/dongtaypromotion.official,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,10,10,HIGH,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:47:53.755155+07:00,2026-08-12T14:47:53.755155+07:00,https://www.youtube.com/watch?v=8RTVnRrMV7A&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=11|https://www.youtube.com/watch?v=AuetpmE00eg&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=8|https://www.youtube.com/watch?v=DtfN79Bx1v4&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=9|https://www.youtube.com/watch?v=Duh6X7WJ4rw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=2|https://www.youtube.com/watch?v=FuAYbk9j0h0&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=1|https://www.youtube.com/watch?v=KRef2BML-wc&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=12|https://www.youtube.com/watch?v=Nnjh_-6xpx4&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=10|https://www.youtube.com/watch?v=WoMdyX5ikFw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=7|https://www.youtube.com/watch?v=_K-rzxLEdRQ&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=6|https://www.youtube.com/watch?v=au82t9S7-qw&list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB&index=4
