platform,native_content_id,metric_name,metric_value_exact,observed_at,metric_definition_version,visibility,receipt_id
youtube,r-RUnz9gPbw,view_count,106288,2026-08-12T14:57:29.878685+07:00,youtube_public_v1,PUBLIC,19BPcrDoEeNIg89PR
youtube,Dov2pHhp0Ko,view_count,10815,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,u76BOoh4Ga8,view_count,12337828,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,0UXCacoRFIw,view_count,22846,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,cKRcKPXnHgs,view_count,10002864,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,a1MuWPRiqb0,view_count,12872,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,7Ox5uiVWaYk,view_count,13358,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,waxE0tLYEIQ,view_count,61769,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,MH4gUH_BAd0,view_count,32714,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,C8I3yL91tPE,view_count,355563,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,4CHIUdNfu4Y,view_count,49218,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,BwErdsjHbYk,view_count,47358,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,0Gf5hvT7mRY,view_count,9710009,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,J3kCVv5SXNk,view_count,8767608,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,lqp2_F53XPM,view_count,1789312,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,LLsGSQBv5yI,view_count,81279,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,7Guuuo8jCTM,view_count,13403,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,2V20IKyMqnM,view_count,2379100,2026-08-12T14:30:40.743835+07:00,youtube_public_v1,PUBLIC,b3w6qu4GW44XrWW2G
youtube,lGepyqJ98uM,view_count,21142,2026-08-12T12:44:06.975475+07:00,youtube_public_v1,PUBLIC,6aaRakgaGJxf19zR1
youtube,JNSfZNYiimg,view_count,780987,2026-08-12T14:57:29.878685+07:00,youtube_public_v1,PUBLIC,19BPcrDoEeNIg89PR
youtube,piOfzIT7sQ0,view_count,7563724,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,piOfzIT7sQ0,like_count,67000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,piOfzIT7sQ0,comment_count,5451,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,DkPgUmAKEgY,view_count,4262750,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,DkPgUmAKEgY,like_count,46000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,DkPgUmAKEgY,comment_count,8792,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,Rb3hfEPyJxQ,view_count,2216223,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,Rb3hfEPyJxQ,like_count,59000,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
